         2664652 function calls (2664531 primitive calls) in 24.302 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 :0(POINTER)
        8    0.000    0.000    0.000    0.000 :0(__contains__)
      274    0.002    0.000    0.002    0.000 :0(__import__)
       16    0.001    0.000    0.001    0.000 :0(__new__)
       20    0.000    0.000    0.000    0.000 :0(__subclasses__)
       20    0.000    0.000    0.000    0.000 :0(__subclasshook__)
       21    0.000    0.000    0.000    0.000 :0(_getframe)
        2    0.000    0.000    0.000    0.000 :0(acquire)
      117    0.000    0.000    0.000    0.000 :0(add)
      271    0.001    0.000    0.001    0.000 :0(add_docstring)
        8    0.000    0.000    0.001    0.000 :0(all)
        4    0.000    0.000    0.000    0.000 :0(allocate_lock)
     1418    0.006    0.000    0.006    0.000 :0(append)
   339860    2.320    0.000    2.320    0.000 :0(array)
   169911    1.028    0.000    1.028    0.000 :0(astype)
       18    0.000    0.000    0.000    0.000 :0(calcsize)
      512    0.002    0.000    0.002    0.000 :0(chr)
        2    0.000    0.000    0.000    0.000 :0(clear)
       13    0.000    0.000    0.000    0.000 :0(compile)
        1    0.000    0.000    0.000    0.000 :0(dlopen)
       21    0.000    0.000    0.000    0.000 :0(empty)
        1    0.000    0.000    0.000    0.000 :0(exp)
       20    0.000    0.000    0.000    0.000 :0(extend)
        1    0.000    0.000    0.000    0.000 :0(find)
       16    0.000    0.000    0.000    0.000 :0(format)
       75    0.000    0.000    0.000    0.000 :0(get)
        2    0.000    0.000    0.000    0.000 :0(get_ident)
     1296    0.005    0.000    0.005    0.000 :0(getattr)
        6    0.000    0.000    0.000    0.000 :0(geterrobj)
      103    0.001    0.000    0.001    0.000 :0(getlower)
        2    0.000    0.000    0.000    0.000 :0(getpid)
      347    0.001    0.000    0.001    0.000 :0(globals)
        7    0.000    0.000    0.000    0.000 :0(hasattr)
        1    0.000    0.000    0.000    0.000 :0(hexlify)
        5    0.000    0.000    0.000    0.000 :0(insert)
       38    0.000    0.000    0.000    0.000 :0(isalnum)
        8    0.000    0.000    0.000    0.000 :0(isdigit)
      957    0.004    0.000    0.004    0.000 :0(isinstance)
339910/339882    1.386    0.000    1.388    0.000 :0(issubclass)
       31    0.000    0.000    0.000    0.000 :0(items)
       51    0.000    0.000    0.000    0.000 :0(join)
       20    0.000    0.000    0.000    0.000 :0(keys)
170909/170887    0.590    0.000    0.590    0.000 :0(len)
        2    0.000    0.000    0.000    0.000 :0(log)
        2    0.000    0.000    0.000    0.000 :0(map)
   169911    0.639    0.000    0.639    0.000 :0(max)
   169991    0.620    0.000    0.620    0.000 :0(min)
        1    0.000    0.000    0.000    0.000 :0(openssl_md5)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha1)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha224)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha256)
